epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,444.746,1.65373,1.70797,1.17784,0.96651,0.33333,0.42828,0.1362,2.80685,2.03407,1.30258,0.000704644,0.000704644,0.000704644
43,453.881,2.16004,1.42391,1.25655,0.96651,0.33333,0.42828,0.1362,2.80685,2.03407,1.30258,0.000709599,0.000709599,0.000709599
44,463.03,1.57507,1.33948,1.16091,0.96651,0.33333,0.42828,0.1362,2.80685,2.03407,1.30258,0.000713987,0.000713987,0.000713987
45,471.577,1.90231,1.39772,1.3201,0.96651,0.33333,0.42828,0.1362,2.80685,2.03407,1.30258,0.00071781,0.00071781,0.00071781
46,480.593,1.84963,1.62083,1.17786,0.9833,0.5,0.58054,0.18916,2.69894,1.62984,1.32095,0.000721066,0.000721066,0.000721066
47,489.584,1.72667,1.32589,1.17305,0.9833,0.5,0.58054,0.18916,2.69894,1.62984,1.32095,0.000723757,0.000723757,0.000723757
48,499.09,1.78436,1.34243,1.1749,0.9833,0.5,0.58054,0.18916,2.69894,1.62984,1.32095,0.000725882,0.000725882,0.000725882
1,11.1601,3.09067,7.11589,1.99685,0,0,0,0,2.96171,8.51875,1.57188,1.429e-05,1.429e-05,1.429e-05
2,20.9461,3.02499,8.29815,1.87574,0,0,0,0,2.94198,7.91243,1.5507,4.07479e-05,4.07479e-05,4.07479e-05
3,30.1705,2.76427,5.69848,1.66071,0,0,0,0,2.98266,7.47828,1.54429,6.43764e-05,6.43764e-05,6.43764e-05
4,39.1246,2.4637,6.31,1.5293,0.03125,0.16667,0.0337,0.01348,2.95397,7.60901,1.50507,8.51755e-05,8.51755e-05,8.51755e-05
5,48.3108,2.76087,5.3491,1.65672,0.28762,0.16667,0.07173,0.03115,2.90411,7.24439,1.465,0.000103145,0.000103145,0.000103145
6,57.6621,2.51899,3.76796,1.45763,0.31081,0.16667,0.07889,0.0353,2.69198,7.18454,1.37048,0.000118285,0.000118285,0.000118285
